Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-10 P-08,TOM NORDYKE,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-09,TOM NORDYKE,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-01,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-02,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-03,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-04,TOM NORDYKE,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-05,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-06,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-07,TOM NORDYKE,JASON STONE,STEVE BARLAND,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-08,TOM NORDYKE,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-09,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-11 P-10,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-01,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-03,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-04,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-06,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-07,MARY LYNN MCPHERSON,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-09,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-12 P-10,TOM NORDYKE,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-01,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-03,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-04,MARY LYNN MCPHERSON,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-06,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-07,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-08,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-13 P-09,TOM NORDYKE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-01,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-03,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-04,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-06,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-07,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-09,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-2 P-10,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-01,MARY LYNN MCPHERSON,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-03,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-04,MARY LYNN MCPHERSON,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-06,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-3 P-09,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-4 P-01,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-4 P-02,TOM NORDYKE,MARY LYNN MCPHERSON,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-03,MARY LYNN MCPHERSON,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-04,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-4 P-05,TOM NORDYKE,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,MEG FORNEY
MINNEAPOLIS W-4 P-06,TOM NORDYKE,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-4 P-07,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-4 P-08,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-5 P-01,MARY LYNN MCPHERSON,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-02,MARY LYNN MCPHERSON,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-5 P-03,MARY LYNN MCPHERSON,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-04,MARY LYNN MCPHERSON,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-05,MARY LYNN MCPHERSON,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-5 P-07,HASHIM YONIS,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-08,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-5 P-6C,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-6 P-01,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-6 P-02,TOM NORDYKE,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-03,TOM NORDYKE,MARY LYNN MCPHERSON,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-04,MARY LYNN MCPHERSON,TOM NORDYKE,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-05,TOM NORDYKE,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-06,MARY LYNN MCPHERSON,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-07,MARY LYNN MCPHERSON,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-08,MARY LYNN MCPHERSON,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-09,TOM NORDYKE,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-01C,TOM NORDYKE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-02D,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-03,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-04D,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-06,TOM NORDYKE,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-09,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-7 P-10,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-01,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-03,TOM NORDYKE,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-04,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-05,TOM NORDYKE,JASON STONE,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-06,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-8 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-01,HASHIM YONIS,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-02,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-03,MARY LYNN MCPHERSON,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-04,HASHIM YONIS,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-05,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-06,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-9 P-08,JASON STONE,ISHMAEL ISRAEL,ANNIE YOUNG,HASHIM YONIS,MEG FORNEY
