Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-10 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS,"ABDUL M RAHAMAN ""THE ROCK""",CAM WINTON
MINNEAPOLIS W-10 P-09,BETSY HODGES,MARK ANDREW,STEPHANIE WOODRUFF,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-01,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-02,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-04,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-05,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-06,BOB FINE,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-08,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-09,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-11 P-10,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-01,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-02,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-04,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-05,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-07,ALICIA K. BENNETT,OLE SAVIOR,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES
MINNEAPOLIS W-12 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-09,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-12 P-10,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-01,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-02,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-03,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-04,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-05,BOB FINE,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-06,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-07,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-08,BOB FINE,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-13 P-09,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-01,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-02,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-03,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-04,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-05,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-06,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-09,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-2 P-10,BETSY HODGES,MARK ANDREW,STEPHANIE WOODRUFF,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-01,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-02,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-04,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-05,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-3 P-09,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-01,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-02,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-03,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-04,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-05,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-06,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-4 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-5 P-01,MARK V ANDERSON,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-02,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-5 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-5 P-04,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-5 P-05,DAN COHEN,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-5 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,"JAMES ""JIMMY"" L. STROUD, JR."
MINNEAPOLIS W-5 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,JAMES EVERETT,DON SAMUELS
MINNEAPOLIS W-5 P-6C,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-6 P-01,JACKIE CHERRYHOMES,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-02,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,STEPHANIE WOODRUFF,DON SAMUELS
MINNEAPOLIS W-6 P-03,MARK V ANDERSON,MARK ANDREW,BETSY HODGES,DON SAMUELS,"ABDUL M RAHAMAN ""THE ROCK"""
MINNEAPOLIS W-6 P-04,DAN COHEN,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-6 P-05,MARK V ANDERSON,MARK ANDREW,BETSY HODGES,DON SAMUELS,"ABDUL M RAHAMAN ""THE ROCK"""
MINNEAPOLIS W-6 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-6 P-07,MARK V ANDERSON,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-6 P-08,JACKIE CHERRYHOMES,MIKE GOULD,MARK ANDREW,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-6 P-09,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-01C,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-02D,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-03,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-04D,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-05,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-07,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-09,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-7 P-10,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-01,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,"ABDUL M RAHAMAN ""THE ROCK"""
MINNEAPOLIS W-8 P-02,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-04,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-05,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-07,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-8 P-08,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-9 P-01,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-9 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS,DOUG MANN,CAM WINTON
MINNEAPOLIS W-9 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-9 P-04,MARK V ANDERSON,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS,DOUG MANN,CAM WINTON
MINNEAPOLIS W-9 P-06,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-9 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-9 P-08,BOB FINE,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
