Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-11 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Al Flowers,Betsy Hodges
MINNEAPOLIS W-12 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-11,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-12,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-12 P-13,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-11,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-12,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-13 P-13,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-2 P-11,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-11,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-3 P-12,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-4 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-6C,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-03,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Aswar Rahman,Betsy Hodges
MINNEAPOLIS W-6 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-6 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-01C,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-02D,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-04D,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-7 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
