,Asian,Black,Hispanic,White
525,0,11,9,10
526,0,12,8,10
527,0,12,7,11
528,0,10,9,11
529,0,11,8,11
530,0,11,10,9
531,0,10,8,12
532,0,9,11,10
533,0,10,9,11
534,0,10,8,12
535,0,11,7,12
536,0,11,9,10
537,0,10,8,12
538,0,10,10,10
539,0,9,9,12
540,0,11,7,12
541,0,9,11,10
542,0,12,8,10
543,0,12,8,10
544,0,9,9,12
545,0,9,8,13
546,0,8,11,11
547,0,10,9,11
548,0,10,10,10
549,0,9,12,9
550,0,9,11,10
551,0,12,8,10
552,0,10,10,10
553,0,10,7,13
554,0,10,10,10
555,0,10,9,11
556,0,11,5,14
557,0,9,10,11
558,0,10,10,10
559,0,11,7,12
560,0,13,8,9
561,0,10,9,11
562,0,8,11,11
563,0,12,9,9
564,1,11,9,9
565,0,10,8,12
566,0,10,11,9
567,0,8,7,15
568,0,10,7,13
569,0,11,8,11
570,0,11,8,11
571,0,10,10,10
572,0,9,9,12
573,0,10,9,11
574,0,11,11,8
575,0,11,10,9
576,0,10,9,11
577,0,12,8,10
578,0,11,6,13
579,0,9,12,9
580,0,9,10,11
581,0,10,7,13
582,0,10,8,12
583,0,10,10,10
584,0,10,11,9
585,0,10,8,12
586,0,9,8,13
587,0,11,9,10
588,0,10,9,11
589,1,11,9,9
590,1,10,9,10
591,0,10,8,12
592,0,11,8,11
593,0,12,7,11
594,0,10,9,11
595,0,8,7,15
596,0,11,10,9
597,0,11,8,11
598,0,9,10,11
599,0,11,8,11
600,0,10,8,12
601,0,11,7,12
602,0,9,8,13
603,0,11,8,11
604,0,9,10,11
605,0,13,7,10
606,0,10,11,9
607,0,10,11,9
608,0,10,9,11
609,0,13,8,9
610,0,10,10,10
611,0,13,7,10
612,0,12,6,12
613,0,11,6,13
614,0,10,8,12
615,0,9,10,11
616,0,11,9,10
617,0,9,10,11
618,0,10,9,11
619,0,10,9,11
620,0,11,8,11
621,0,11,9,10
622,0,10,9,11
623,0,12,7,11
624,0,10,9,11
625,0,12,7,11
626,0,11,7,12
627,0,11,9,10
628,0,12,8,10
629,0,10,9,11
630,1,10,8,11
631,0,13,6,11
632,1,9,9,11
633,0,9,11,10
634,0,11,9,10
635,0,8,11,11
636,0,11,10,9
637,0,11,9,10
638,0,10,13,7
639,0,11,10,9
640,1,10,10,9
641,0,14,9,7
642,0,11,9,10
643,0,8,10,12
644,0,10,7,13
645,0,10,11,9
646,0,10,10,10
647,0,10,9,11
648,0,10,7,13
649,0,9,10,11
650,0,11,8,11
651,0,13,8,9
652,0,12,8,10
653,0,7,11,12
654,0,12,8,10
655,0,9,9,12
656,0,10,10,10
657,0,11,8,11
658,0,10,11,9
659,1,11,8,10
660,0,9,8,13
661,0,9,11,10
662,0,10,10,10
663,0,10,10,10
664,0,10,9,11
665,1,12,7,10
666,0,12,9,9
667,0,9,8,13
668,0,8,10,12
669,0,11,12,7
670,0,10,9,11
671,0,11,7,12
