,Asian,Black,Hispanic,White
391,0,15,17,18
392,2,15,15,18
393,1,16,15,18
394,0,17,15,18
395,0,18,15,17
396,1,16,19,14
397,0,17,15,18
398,0,17,17,16
399,0,19,14,17
400,1,20,11,18
401,0,21,14,15
402,1,17,15,17
403,0,18,20,12
404,0,16,14,20
405,0,19,14,17
406,2,14,15,19
407,0,18,17,15
408,0,16,18,16
409,0,16,17,17
410,1,15,17,17
411,0,18,12,20
412,1,15,15,19
413,0,16,13,21
414,0,18,15,17
415,0,17,16,17
416,1,15,15,19
417,1,19,12,18
418,2,18,16,14
419,0,16,13,21
420,0,16,13,21
421,1,19,16,14
422,1,17,18,14
423,0,17,15,18
424,1,16,18,15
425,0,15,20,15
426,0,18,15,17
427,0,18,14,18
428,0,18,13,19
429,0,18,14,18
430,0,16,17,17
431,0,17,17,16
432,0,18,15,17
433,0,17,15,18
434,0,17,15,18
435,0,18,15,17
436,0,18,16,16
437,0,18,16,16
438,0,21,14,15
439,0,15,15,20
440,0,18,12,20
441,0,15,18,17
442,1,15,18,16
443,1,14,14,21
444,0,18,13,19
445,0,17,16,17
446,0,17,18,15
447,0,18,12,20
448,0,17,15,18
449,1,18,13,18
450,0,17,14,19
451,0,15,19,16
452,0,17,16,17
453,0,16,18,16
454,1,19,15,15
455,1,18,14,17
456,0,16,17,17
457,0,18,13,19
458,0,18,14,18
459,0,18,16,16
460,0,18,16,16
461,0,16,14,20
462,0,15,17,18
463,0,15,20,15
464,0,18,16,16
465,0,16,15,19
466,0,18,14,18
467,1,17,14,18
468,0,18,14,18
469,1,20,16,13
470,0,15,17,18
471,0,17,15,18
472,1,18,16,15
473,1,14,14,21
474,0,18,16,16
475,1,16,15,18
476,0,18,16,16
477,0,18,17,15
478,0,15,15,20
479,0,21,12,17
480,0,20,13,17
481,0,18,18,14
482,1,17,12,20
483,0,17,14,19
484,0,17,19,14
485,1,14,19,16
486,1,18,17,14
487,0,13,22,15
488,0,16,15,19
489,0,17,16,17
490,0,18,15,17
491,1,16,14,19
492,0,19,16,15
493,0,15,17,18
494,0,14,20,16
495,0,16,16,18
496,0,17,15,18
497,1,16,18,15
498,0,15,17,18
499,1,16,16,17
500,0,13,20,17
501,0,18,13,19
502,0,15,14,21
503,0,17,16,17
504,0,15,17,18
505,0,19,14,17
506,0,17,16,17
507,0,17,16,17
508,0,15,20,15
509,0,14,17,19
510,0,16,15,19
511,0,16,17,17
512,0,15,17,18
513,0,18,14,18
514,0,14,13,23
515,0,18,16,16
516,0,16,15,19
517,0,16,17,17
518,1,14,19,16
519,1,14,20,15
520,1,15,14,20
521,0,19,15,16
522,1,15,18,16
523,1,17,16,16
524,0,17,16,17
525,0,20,15,15
526,1,12,18,19
527,2,15,14,19
528,1,14,19,16
529,0,22,13,15
530,0,18,15,17
531,0,16,18,16
532,0,19,17,14
533,0,18,16,16
534,0,16,18,16
535,0,15,17,18
536,0,18,16,16
537,0,20,16,14
538,2,17,18,13
539,1,17,16,16
540,0,16,16,18
541,1,17,14,18
542,0,17,18,15
543,0,17,17,16
544,0,18,15,17
545,0,14,17,19
546,0,16,20,14
547,0,17,18,15
548,0,16,15,19
549,0,14,16,20
550,0,16,15,19
551,1,15,16,18
552,0,17,17,16
553,0,17,15,18
554,0,20,17,13
555,0,16,14,20
556,0,21,15,14
557,0,18,14,18
558,0,16,18,16
559,1,16,16,17
560,1,18,15,16
561,0,19,16,15
562,0,15,17,18
563,0,20,14,16
564,0,19,13,18
565,0,13,21,16
566,0,15,21,14
567,0,17,18,15
568,0,17,16,17
569,0,18,16,16
570,0,18,13,19
571,0,16,15,19
572,0,17,18,15
573,0,20,15,15
574,0,20,13,17
575,0,16,14,20
576,0,14,15,21
577,0,15,17,18
578,1,18,16,15
579,0,21,13,16
580,0,16,16,18
581,1,19,15,15
582,0,18,15,17
583,0,21,15,14
584,0,22,16,12
585,0,15,18,17
586,0,19,13,18
587,0,15,14,21
588,0,16,15,19
589,1,16,17,16
590,0,19,11,20
591,0,16,17,17
592,0,16,17,17
593,0,16,21,13
594,0,17,14,19
595,0,17,19,14
596,0,18,15,17
597,0,16,18,16
598,0,13,20,17
599,1,16,15,18
600,0,15,16,19
601,0,17,15,18
602,0,13,16,21
603,0,17,16,17
604,0,15,18,17
605,0,18,15,17
606,0,18,15,17
607,0,16,17,17
608,0,16,16,18
609,0,17,16,17
610,0,18,18,14
611,0,17,17,16
612,0,16,14,20
613,0,18,16,16
614,1,14,19,16
615,0,16,20,14
616,0,17,10,23
617,0,17,19,14
618,0,18,18,14
619,0,19,14,17
620,0,14,15,21
621,0,20,13,17
622,0,14,14,22
623,1,15,16,18
624,0,18,16,16
625,1,17,15,17
626,1,20,12,17
627,0,17,18,15
628,1,18,12,19
629,1,17,14,18
630,0,17,18,15
631,0,14,19,17
632,1,16,13,20
633,0,20,14,16
634,0,18,15,17
635,0,17,15,18
636,0,18,17,15
637,0,16,16,18
638,0,19,14,17
639,0,15,18,17
640,0,16,18,16
641,0,14,18,18
642,0,19,18,13
643,0,16,15,19
644,1,13,15,21
645,0,14,15,21
646,0,18,15,17
647,1,18,15,16
648,0,20,14,16
649,0,20,16,14
650,0,19,14,17
651,0,18,15,17
652,0,18,15,17
653,0,15,14,21
654,0,15,15,20
655,0,17,16,17
656,0,15,17,18
657,2,14,17,17
658,0,15,16,19
659,0,18,15,17
660,0,19,14,17
