,ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
9963,000901-00-0190,C12,C17,C18,C13,C04,C05,C09,C16,,,,,,,,,,
9964,000901-00-0192,C12,C03,C15,,,,,,,,,,,,,,,
9965,000901-00-0193,C03,C10,C04,,,,,,,,,,,,,,,
9966,000901-00-0195,C10,C06,C03,C15,C17,,,,,,,,,,,,,
9967,000901-00-0198,C04,C10,C14,C17,C12,C13,,,,,,,,,,,,
9968,000901-00-0200,C03,C05,C18,C16,C04,C12,C13,C14,,,,,,,,,,
9969,000901-00-0201,C15,C10,C03,C05,C12,C16,C17,C18,C14,C13,C09,C08,C07,C06,C02,C01,,
9970,000901-00-0202,C13,C12,C14,C16,C03,C04,C06,,,,,,,,,,,
9971,000901-00-0204,C12,C15,C04,C13,C10,C16,C14,C03,,,,,,,,,,
9972,000901-00-0207,C15,C10,C03,C04,C12,C16,,,,,,,,,,,,
9973,000901-00-0210,C03,C04,,,,,,,,,,,,,,,,
9974,000901-00-0212,C13,C03,C04,C06,C12,C15,C16,,,,,,,,,,,
9975,000901-00-0213,C04,,,,,,,,,,,,,,,,,
9976,000901-00-0215,C13,C03,,,,,,,,,,,,,,,,
9977,000901-00-0217,C18,C12,,,,,,,,,,,,,,,,
9978,000901-00-0219,C12,C03,C13,C10,,,,,,,,,,,,,,
9979,000901-00-0220,C10,C06,C03,C13,,,,,,,,,,,,,,
9980,000901-00-0223,C15,C10,C06,,,,,,,,,,,,,,,
9981,000901-00-0225,C03,C12,C13,C04,C16,C14,,,,,,,,,,,,
9982,000901-00-0227,C13,C05,,,,,,,,,,,,,,,,
9983,000901-00-0229,C12,C13,C05,,,,,,,,,,,,,,,
9984,000901-00-0231,C10,C15,C12,C05,C18,C13,,,,,,,,,,,,
9985,000901-00-0232,C12,C15,C03,C13,C16,,,,,,,,,,,,,
9986,000901-00-0235,C13,C03,,,,,,,,,,,,,,,,
9987,000901-00-0236,C13,C04,C12,C14,C18,C05,,,,,,,,,,,,
9988,000901-00-0238,C04,C13,C15,C03,C16,C10,C01,C06,,,,,,,,,,
9989,000901-00-0240,C10,C13,C09,C15,C05,C03,C06,C17,,,,,,,,,,
9990,000901-00-0242,C16,C04,C06,C15,,,,,,,,,,,,,,
9991,000901-00-0244,C04,C12,C13,C10,C05,C15,,,,,,,,,,,,
9992,000901-00-0247,C12,C05,C13,C15,,,,,,,,,,,,,,
9993,000901-00-0248,C17,C05,C12,C18,C02,C11,,,,,,,,,,,,
9994,000901-00-0251,C05,C03,C17,C12,C18,C04,,,,,,,,,,,,
9995,000901-00-0253,C03,C12,,,,,,,,,,,,,,,,
9996,000901-00-0254,C12,C03,C05,C04,C17,C14,,,,,,,,,,,,
9997,000901-00-0256,C10,C15,,,,,,,,,,,,,,,,
9998,000901-00-0260,C05,C17,C04,C18,C12,C02,,,,,,,,,,,,
9999,000901-00-0261,C05,C12,C17,C18,C13,,,,,,,,,,,,,
10000,000901-00-0263,C04,C06,C16,C13,C03,,,,,,,,,,,,,
10001,000901-00-0264,C13,C14,,,,,,,,,,,,,,,,
10002,000901-00-0267,C13,C12,C03,C10,C17,C04,C05,C16,C14,,,,,,,,,
10003,000901-00-0268,C05,C12,C17,,,,,,,,,,,,,,,
10004,000901-00-0271,C17,C12,C05,C18,,,,,,,,,,,,,,
10005,000901-00-0273,C05,C18,C17,C12,,,,,,,,,,,,,,
10006,000901-00-0276,C15,C10,C12,C05,C17,,,,,,,,,,,,,
10007,000901-00-0278,C17,C05,C12,C18,,,,,,,,,,,,,,
10008,000901-00-0279,C05,C12,C18,C17,C07,C09,C13,C14,C15,C03,,,,,,,,
10009,000901-00-0281,C12,C05,C17,C18,,,,,,,,,,,,,,
10010,000901-00-0283,C12,C03,C10,C13,C17,,,,,,,,,,,,,
10011,000901-00-0284,C12,C05,C17,C18,C14,C03,C13,C04,C16,,,,,,,,,
10012,000901-00-0285,C12,C18,C13,,,,,,,,,,,,,,,
10013,000901-00-0286,C12,C17,C18,,,,,,,,,,,,,,,
10014,000901-00-0287,C12,C17,C18,C05,,,,,,,,,,,,,,
10015,000901-00-0288,C12,,,,,,,,,,,,,,,,,
10016,000901-00-0289,C12,,,,,,,,,,,,,,,,,
10017,000901-00-0291,C13,C15,C12,C04,,,,,,,,,,,,,,
10018,000901-00-0293,C13,C06,C14,C12,C16,C03,,,,,,,,,,,,
10019,000901-00-0296,C03,C04,C15,C16,C12,C07=C08,,,,,,,,,,,,
10020,000901-00-0297,C18,C17,C05,C12,C04,C14,,,,,,,,,,,,
10021,000901-00-0299,C04,C05,C06,C12,C13,C15,C16,,,,,,,,,,,
10022,000901-00-0300,C03,C13,C10,C16,C12,C06,,,,,,,,,,,,
10023,000901-00-0302,C12,C05,C13,C17,C18,,,,,,,,,,,,,
10024,000901-00-0303,C12,C17,,,,,,,,,,,,,,,,
10025,000901-00-0304,C12,C18,C13,,,,,,,,,,,,,,,
10026,000901-00-0305,C13,C15,C03,,,,,,,,,,,,,,,
10027,000901-00-0307,C07,C08,C09,C10,C11,C15,C01,C02,C06,,,,,,,,,
10028,000901-00-0310,C15,C13,C05,,,,,,,,,,,,,,,
10029,000901-00-0311,C12,C05,C04,C17,C18,,,,,,,,,,,,,
10030,000901-00-0323,C13,C03,C12,C16,,,,,,,,,,,,,,
10031,000901-00-0325,C10,C15,C12,C16,C04,C03,,,,,,,,,,,,
10032,000901-00-0327,C13,C15,C12,C04,C17,C03,C05,C06,,,,,,,,,,
10033,000901-00-0329,C04,C03,C18,C16,C13,C14,C15,,,,,,,,,,,
10034,000901-00-0330,C10,C15,C16,C02,C12,C03,C04,,,,,,,,,,,
10035,000901-00-0332,C12,C06,C15,C03,,,,,,,,,,,,,,
10036,000901-00-0335,C13,C15,C03,C16,C12,,,,,,,,,,,,,
10037,000901-00-0336,C13,C03,C12,C14,C05,C10,C18,C06,C15,,,,,,,,,
10038,000901-00-0339,C03,C12,C04,C06,C17,,,,,,,,,,,,,
10039,000901-00-0341,C03,C14,C13,C16,C15,C12,C05,C17,C10,,,,,,,,,
10040,000901-00-0343,C16,C12,C13,C03,C15,C10,C14,C17,C18,C05,C09,C07,C06,C08,C11,C02,C01,C04
10041,000901-00-0344,C15,C13,C10,C03,C04,,,,,,,,,,,,,
10042,000901-00-0347,C03,C13,C06,C12,C16,C10,,,,,,,,,,,,
10043,000901-00-0348,C12,C18,C08,C17,C05,,,,,,,,,,,,,
10044,000901-00-0350,C10,C05,C15,C13,C12,C03,C04,C14,C17,,,,,,,,,
10045,000901-00-0351,C04,C03,C05,C12,C13,C14,C15,C16,C10,,,,,,,,,
10046,000901-00-0352,C12,C18,C05=C17,C13,,,,,,,,,,,,,,
10047,000901-00-0353,C04,C06,C05,C17,C10,C15,C07,C12,C13,C18,C16,C03,C01,,,,,
10048,000901-00-0354,C18,C12,C17,,,,,,,,,,,,,,,
10049,000901-00-0355,C13,C14,C07,C06,C09,C08,C02,C01,C10,C15,C03,,,,,,,
10050,000901-00-0356,C10,C13,C18,C07,C06,C02,C01,C14,C16,C11,C09,,,,,,,
10051,000901-00-0357,C12,,,,,,,,,,,,,,,,,
10052,000901-00-0358,C12,C05,C18,C17,C04,C06,,,,,,,,,,,,
10053,000901-00-0359,C05,C12,C14,,,,,,,,,,,,,,,
10054,000901-00-0362,C13,C03,C12,C16,C05,C04,,,,,,,,,,,,
10055,000901-00-0364,C13,C03,C12,C16,C04,C06,,,,,,,,,,,,
10056,000901-00-0374,C05,C04,C12,C16,C14,C17,C03,,,,,,,,,,,
10057,000901-00-0377,C12,C17,C03,C05,C04,C10,,,,,,,,,,,,
10058,000901-00-0378,C12,C17,C05,,,,,,,,,,,,,,,
10059,000901-00-0380,C04,C03,C16,C05,C14,C12,C13,C17,C18,,,,,,,,,
10060,000901-00-0383,C04,C12,C03,C13,C14,,,,,,,,,,,,,
10061,000901-00-0384,C12,C06,C03,,,,,,,,,,,,,,,
10062,000901-00-0385,C13,C04,C15,C06,C14,,,,,,,,,,,,,
10063,000901-00-0387,C12,C17,C13,C04,,,,,,,,,,,,,,
10064,000901-00-0389,C12,,,,,,,,,,,,,,,,,
10065,000901-00-0391,C06,C10,C12,C13,C04,C05,C03,C17,C16,C15,C14,,,,,,,
10066,000901-00-0394,C12,C13,C06,C05,,,,,,,,,,,,,,
10067,000901-00-0395,C03,C04,C05,C10,C12,C15,C16,C17,C07,,,,,,,,,
10068,000901-00-0398,C12,C04,C05,C03,C16,,,,,,,,,,,,,
10069,000901-00-0400,C15,C10,C03,C04,C05,C12,C16,C17,C13,C18,,,,,,,,
10070,000901-00-0401,C17,C12,,,,,,,,,,,,,,,,
10071,000901-00-0403,C12,C03,C04,C05,C17,C18,C13,,,,,,,,,,,
10072,000901-00-0406,0)C12=C17,,,,,,,,,,,,,,,,,
10073,000901-00-0407,0),,,,,,,,,,,,,,,,,
10074,000901-00-0410,C15,C10,C16,C03,C11,C12,C13,C04,C05,C17,,,,,,,,
10075,000901-00-0411,C12,C15,C17,C18,C13,,,,,,,,,,,,,
10076,000901-00-0414,C15,C13,,,,,,,,,,,,,,,,
10077,000901-00-0416,C15,,,,,,,,,,,,,,,,,
10078,000901-00-0417,C12,C15,C06,C05,,,,,,,,,,,,,,
10079,000901-00-0419,0)C03=C04=C05=C12=C14=C16,,,,,,,,,,,,,,,,,
10080,000901-00-0422,C12,C05,C03,C14,C04,,,,,,,,,,,,,
10081,000901-00-0424,C15,C13,C03,C12,C05,C17,C18,C16,,,,,,,,,,
10082,000901-00-0425,C03,C12,C04,C05,,,,,,,,,,,,,,
10083,000901-00-0427,C13,C03,C14,C15,,,,,,,,,,,,,,
10084,000901-00-0429,C06,C04,C12,,,,,,,,,,,,,,,
10085,000901-00-0432,C08,,,,,,,,,,,,,,,,,
10086,000901-00-0437,C12,C17,C05,C18,,,,,,,,,,,,,,
10087,000901-00-0444,C12,,,,,,,,,,,,,,,,,
10088,000901-00-0450,C12,C05,C18,C17,C03,,,,,,,,,,,,,
10089,000901-00-0451,C05,C12,C03,C17,,,,,,,,,,,,,,
10090,000901-00-0453,C15,C06,C04,C12,,,,,,,,,,,,,,
10091,000901-00-0455,C10,C03,C04,C06,C13,C15,C16,C05,C12,,,,,,,,,
10092,000901-00-0457,C13,C15,,,,,,,,,,,,,,,,
10093,000901-00-0459,C13,C04,C05,C03,C14,,,,,,,,,,,,,
10094,000901-00-0461,C12,C05,,,,,,,,,,,,,,,,
10095,000901-00-0462,C17,C02,C10,C13,C07,C09,C16,,,,,,,,,,,
10096,000901-00-0464,C17,C02,C10,C13,C07,C09,C16,,,,,,,,,,,
10097,000901-00-0466,C10,C06,C01,C03,,,,,,,,,,,,,,
10098,000901-00-0467,C10,C06,C01,C16,C03,,,,,,,,,,,,,
10099,000901-00-0468,C03,C10,C12,C13,C15,C04,C16,C18,C05,C14,C02,,,,,,,
10100,000901-00-0469,C13,C12,C15,C17,C14,C03,,,,,,,,,,,,
10101,000901-00-0471,C03,C04,C11,C13,C14,C16,C17,C12,,,,,,,,,,
10102,000901-00-0472,C12,C17,C05,C13,,,,,,,,,,,,,,
10103,000901-00-0473,C03,C17,,,,,,,,,,,,,,,,
10104,000901-00-0474,C12,C17,C05,C13,,,,,,,,,,,,,,
10105,000901-00-0475,C17,,,,,,,,,,,,,,,,,
10106,000901-00-0476,C04,C15,C13,C06,C14,,,,,,,,,,,,,
10107,000901-00-0477,C13,C12,C04,C03,C18,,,,,,,,,,,,,
10108,000901-00-0479,C13,C04,C15,C06,C14,,,,,,,,,,,,,
10109,000901-00-0480,C05,C12,C03,C17,,,,,,,,,,,,,,
10110,000901-00-0482,C15,C05,,,,,,,,,,,,,,,,
10111,000901-00-0484,C15,,,,,,,,,,,,,,,,,
10112,000901-00-0486,C04,C03,C17,C16,C12,C05,C14,,,,,,,,,,,
10113,000901-00-0488,C15,C10,C12,C04,C03,,,,,,,,,,,,,
10114,000901-00-0489,C13,C10,C03,C16,C15,C12,C04,C05,C17,,,,,,,,,
10115,000901-00-0491,C15,C10,C13,C04,C03,C16,C12,C05,C17,,,,,,,,,
10116,000901-00-0492,C15,C06,C04,C17,C12,,,,,,,,,,,,,
10117,000901-00-0494,C12,C17,C13,C18,C04,C05,,,,,,,,,,,,
10118,000901-00-0495,C04,C16,,,,,,,,,,,,,,,,
10119,000901-00-0497,C16,,,,,,,,,,,,,,,,,
10120,000901-00-0501,C12,C14,C15,C16,C17,C18,C01,,,,,,,,,,,
10121,000901-00-0503,C10,C12,C05,,,,,,,,,,,,,,,
10122,000901-00-0506,C17,C18,C12,C13,,,,,,,,,,,,,,
10123,000901-00-0508,C17,C12,C05,C18,,,,,,,,,,,,,,
10124,000901-00-0510,C17,C14,C12,C18,C05,C04,C13,C16,C03,C11,C09,,,,,,,
10125,000901-00-0511,C16,C04,C17,C10,C05,C02,C03,,,,,,,,,,,
10126,000901-00-0513,C05,C12,C16,,,,,,,,,,,,,,,
10127,000901-00-0515,C10,C04,C16,C18,C05,C03,C13,C14,C17,C01,C06,,,,,,,
10128,000901-00-0519,C16,C14,C01,C04,C03,C17,C10,C18,C05,,,,,,,,,
10129,000901-00-0521,C05,,,,,,,,,,,,,,,,,
10130,000901-00-0523,C10,C03,C13,C12,C14,C15,C16,C04,,,,,,,,,,
10131,000901-00-0526,C10,,,,,,,,,,,,,,,,,
10132,000901-00-0531,C11,C03,C04,C14,C15,C17,,,,,,,,,,,,
10133,000901-00-0541,C05,C03,C04,,,,,,,,,,,,,,,
10134,000901-00-0544,C15,C16,C14,C03,C04,,,,,,,,,,,,,
10135,000901-00-0545,C12,C16,C05,C13,C17,,,,,,,,,,,,,
10136,000901-00-0548,C05,C13,C17,C03,C18,C04,C12,C16,,,,,,,,,,
10137,000901-00-0549,C03,C15,C14,C12,C06,,,,,,,,,,,,,
10138,000901-00-0551,C04,C16,C13,C06,C15,C10,C14,C12,,,,,,,,,,
10139,000901-00-0553,C13,C15,C06,,,,,,,,,,,,,,,
10140,000901-00-0555,C04,C12,C14,,,,,,,,,,,,,,,
10141,000901-00-0558,C11,C14,C15,C16,C03,C04,C06,,,,,,,,,,,
10142,000901-00-0559,C04,C03,C05,,,,,,,,,,,,,,,
10143,000901-00-0561,C10,C15,C03,C04,C13,C16,C14,,,,,,,,,,,
10144,000901-00-0563,C15,C16,C18,C03,C14,C17,C12,,,,,,,,,,,
10145,000901-00-0564,0),,,,,,,,,,,,,,,,,
10146,000901-00-0566,C17,C04,C16,C12,C05,C03,C14,C18,C10,C01,C15,C02,C08,C11,C13,C09,,
10147,000901-00-0567,C04,C16,C13,C06,C10,C14,,,,,,,,,,,,
10148,000901-00-0569,C16,C03,C12,C04,,,,,,,,,,,,,,
10149,000901-00-0570,C04,C03,C16,C13,C12,,,,,,,,,,,,,
10150,000901-00-0573,C15,C10,C13,C03,C12,C04,C17,,,,,,,,,,,
10151,000901-00-0576,C12,C05,C17,C18,,,,,,,,,,,,,,
10152,000901-00-0577,C05,C13,C03,C17,C12,,,,,,,,,,,,,
10153,000901-00-0579,C03,C12,C17,C05,C13,C18,C04,,,,,,,,,,,
10154,000901-00-0582,C14,C03,C12,C08,,,,,,,,,,,,,,
10155,000901-00-0583,C10,C11,C17,C09,C06,C03,,,,,,,,,,,,
10156,000901-00-0584,C15,C10,C03,C04,C05,C12,C13,C16,C17,,,,,,,,,
10157,000901-00-0586,C06,C04,C03,C13,C16,C12,,,,,,,,,,,,
10158,000901-00-0588,C03,C04,C12,C14,C17,,,,,,,,,,,,,
10159,000901-00-0590,C06,C03,C12,C13,C16,C04,C15,,,,,,,,,,,
10160,000901-00-0593,C05,C12,C17,C18,,,,,,,,,,,,,,
10161,000901-00-0594,C15,C13,C05,C16,C12,,,,,,,,,,,,,
10162,000901-00-0596,C12,C05,C17,C15,,,,,,,,,,,,,,
10163,000901-00-0599,C13,C05,C15,C03,C16,,,,,,,,,,,,,
10164,000901-00-0601,C15,C05,C13,,,,,,,,,,,,,,,
10165,000901-00-0603,C05,C17,C18,C06,C12,C03,,,,,,,,,,,,
10166,000901-00-0604,C04,C03,C13,C06,C16,C15,C10,,,,,,,,,,,
10167,000901-00-0605,C13,C03,C04,C16,C06,C10,C15,,,,,,,,,,,
10168,000901-00-0606,0)C03=C04=C05,,,,,,,,,,,,,,,,,
10169,000901-00-0607,C05,,,,,,,,,,,,,,,,,
10170,000901-00-0608,C05,,,,,,,,,,,,,,,,,
10171,000901-00-0609,C15,C10,,,,,,,,,,,,,,,,
10172,000901-00-0612,C03,C09,C13,C12,C05,C17,,,,,,,,,,,,
10173,000901-00-0614,C17,C12,C05,C18,C13,C14,C04,,,,,,,,,,,
10174,000901-00-0615,C12,C05,C17,C18,C13,,,,,,,,,,,,,
10175,000901-00-0616,C06,C10,,,,,,,,,,,,,,,,
10176,000901-00-0617,C13,C03,C04,,,,,,,,,,,,,,,
10177,000901-00-0618,C12,C05,C17,,,,,,,,,,,,,,,
10178,000901-00-0619,C05,C12,C04,C18,C17,C13,C03,,,,,,,,,,,
10179,000901-00-0620,C12,C09,C07,,,,,,,,,,,,,,,
10180,000901-00-0622,C05,C17,C12,,,,,,,,,,,,,,,
10181,000901-00-0623,C05,C12,C14,,,,,,,,,,,,,,,
10182,000901-00-0625,C12,C13,C10,C05,C17,C06,,,,,,,,,,,,
10183,000901-00-0627,C12,C05,C14,C17,C18,,,,,,,,,,,,,
10184,000901-00-0629,C10,C15,C13,,,,,,,,,,,,,,,
10185,000901-00-0632,C10,C15,C01,C16,C06,C03,,,,,,,,,,,,
10186,000901-00-0634,C12,C13,C16,C04,C03,C01,C06,C15,,,,,,,,,,
10187,000901-00-0635,C13,C06,C12,,,,,,,,,,,,,,,
10188,000901-00-0637,C03,C04,C05,C12,C06,C10,C17,,,,,,,,,,,
10189,000901-00-0639,C12,,,,,,,,,,,,,,,,,
10190,000901-00-0642,C10,C06,C03,C14,C04,C13,C05,C12,C17,,,,,,,,,
10191,000901-00-0645,C05,C12,C13,C17,C03,,,,,,,,,,,,,
10192,000901-00-0646,C12,C06,C13,C04,C03,C17,,,,,,,,,,,,
10193,000901-00-0648,C04,C06,C13,C03,C14,,,,,,,,,,,,,
10194,000901-00-0649,C12,C01,C04,C05,,,,,,,,,,,,,,
10195,000901-00-0652,C06,C10,C15,C03,C13,C16,C04,,,,,,,,,,,
10196,000901-00-0654,C12,C05,,,,,,,,,,,,,,,,
10197,000901-00-0655,C12,C05,C17,C18,,,,,,,,,,,,,,
10198,000901-00-0657,C13,C16,C06,C12,C15,C03,C04,,,,,,,,,,,
10199,000901-00-0660,C13,C15,C03,,,,,,,,,,,,,,,
10200,000901-00-0662,C13,C15,,,,,,,,,,,,,,,,
10201,000901-00-0664,C13,C15,C12,C09,C06,C04,C03,C17,,,,,,,,,,
10202,000901-00-0665,C14,C15,C04,,,,,,,,,,,,,,,
10203,000901-00-0668,C12,C05,C17,C18,C13,,,,,,,,,,,,,
10204,000901-00-0670,C12,C05,C17,C03,C13,C18,C10,,,,,,,,,,,
10205,000901-00-0672,C13,C15,C10,C03,C04,C12,C17,,,,,,,,,,,
10206,000901-00-0674,C12,C06,C05,C13,C10,,,,,,,,,,,,,
10207,000901-00-0676,C13,C15,C12,C09,C06,C04,C03,C17,C08,,,,,,,,,
10208,000901-00-0679,C13,C05,,,,,,,,,,,,,,,,
10209,000901-00-0681,C06,C07,C08,C09,C15,C02,C01,C11,C04,C05,,,,,,,,
10210,000901-00-0682,C03,C12,C15,,,,,,,,,,,,,,,
10211,000901-00-0685,C04,C03,C10,C13,C06,C15,C16,,,,,,,,,,,
10212,000901-00-0686,C03,C04,C12,C13,,,,,,,,,,,,,,
10213,000901-00-0688,C13,C15,C12,C16,C06,C04,C03,C17,,,,,,,,,,
10214,000901-00-0690,C12,,,,,,,,,,,,,,,,,
10215,000901-00-0691,C13,C12,C04,C16,C14,C03,,,,,,,,,,,,
10216,000901-00-0694,C13,,,,,,,,,,,,,,,,,
10217,000901-00-0695,C12,C05,C17,C18,,,,,,,,,,,,,,
10218,000901-00-0696,C12,C18,,,,,,,,,,,,,,,,
10219,000901-00-0698,C17,C18,C04,C05,C10,C11,C12,C13,C03,C16,,,,,,,,
10220,000901-00-0700,C12,C10,,,,,,,,,,,,,,,,
10221,000901-00-0702,C12,C10,,,,,,,,,,,,,,,,
10222,000901-00-0704,C03,C13,C15,C12,,,,,,,,,,,,,,
10223,000901-00-0706,C10,C13,C12,C04,C17,C05,C14,C01,C15,,,,,,,,,
10224,000901-00-0707,C10,C06,C03,C13,,,,,,,,,,,,,,
10225,000901-00-0710,C12,,,,,,,,,,,,,,,,,
10226,000901-00-0712,C16,C12,C17,C03,C14,C13,C04,C15,C05,,,,,,,,,
10227,000901-00-0713,C16,C12,C17,C03,C14,C13,C04,C15,C05,,,,,,,,,
10228,000901-00-0715,C03,C13,C04,C17,C12,C16,,,,,,,,,,,,
10229,000901-00-0717,C03,C13,C12,C02,C06,C16,C15,C09,,,,,,,,,,
10230,000901-00-0718,C12,C04,,,,,,,,,,,,,,,,
10231,000901-00-0721,C10,C13,C15,C06,C03,C04,C16,C12,,,,,,,,,,
10232,000901-00-0723,C13,C12,C03,C10,C17,C04,C05,C16,C14,,,,,,,,,
10233,000901-00-0726,C03,C13,C04,C17,C12,,,,,,,,,,,,,
10234,000901-00-0727,C05,C03,,,,,,,,,,,,,,,,
10235,000901-00-0730,C18,C05,C12,C13,C17,C14,,,,,,,,,,,,
10236,000901-00-0731,C13,C04,C12,C03,C10,,,,,,,,,,,,,
10237,000901-00-0734,C12,C03,C13,C16,C17,C10,C05,C04,C07,C09,C02,C01,C15,C11,C08,C06,C18,C14
10238,000901-00-0736,C13,C03,C15,C16,,,,,,,,,,,,,,
10239,000901-00-0737,C04,C03,C06,C16,C17,C05,C13,,,,,,,,,,,
10240,000901-00-0739,C12,,,,,,,,,,,,,,,,,
10241,000901-00-0742,C13,,,,,,,,,,,,,,,,,
10242,000901-00-0745,C13,C17,C05,C03,C14,C12,,,,,,,,,,,,
10243,000901-00-0746,C14,C13,C04,C06,C05,C16,C12,C09,C17,,,,,,,,,
10244,000901-00-0748,C15,C13,C12,C06,C14,C16,C04,C03,,,,,,,,,,
10245,000901-00-0749,C13,C04,C03,C12,C14,,,,,,,,,,,,,
10246,000901-00-0751,C15,C13,C04,C03,C16,,,,,,,,,,,,,
10247,000901-00-0753,C13,C15,,,,,,,,,,,,,,,,
10248,000901-00-0755,C12,,,,,,,,,,,,,,,,,
10249,000901-00-0758,C15,C10,C13,C14,,,,,,,,,,,,,,
10250,000901-00-0759,C16,C03,C04,C12,C10,,,,,,,,,,,,,
10251,000901-00-0761,C03,C16,C15,C12,C13,C14,C17,,,,,,,,,,,
10252,000901-00-0763,C10,C06,C01,C15,C03,C13,C12,C16,C17,,,,,,,,,
10253,000901-00-0766,C12,C03,C10,C13,C17,C16,,,,,,,,,,,,
10254,000901-00-0767,C12,C03,C05,C13,C06,C15,,,,,,,,,,,,
10255,000901-00-0769,C12,C03,C05,C06,C17,,,,,,,,,,,,,
10256,000901-00-0771,C05,C13,C12,C16,C03,C14,C17,,,,,,,,,,,
10257,000901-00-0772,C12,C13,C05,,,,,,,,,,,,,,,
10258,000901-00-0775,C05,C17,C15,C18,C13,,,,,,,,,,,,,
10259,000901-00-0777,C12,C05,C04,C17,C14,C03,C09,C13,,,,,,,,,,
10260,000901-00-0779,C05,C12,C17,,,,,,,,,,,,,,,
10261,000901-00-0782,C06,,,,,,,,,,,,,,,,,
10262,000901-00-0785,C12,C17,C03,C13,C04,C05,C06,C16,C18,C01,C02,C07,C08,C09,C10,C11,C14,C15
10263,000901-00-0787,C15,C16,C17,C18,C01,C03,C04,C05,C06,C10,C12,C13,C14,,,,,
10264,000901-00-0788,C17,C15,C18,C13,C01,C05,C03,C10,C11,,,,,,,,,
10265,000901-00-0789,C04,C03,C16,C17,,,,,,,,,,,,,,
10266,000901-00-0792,C13,C17,C05,C15,C03,C16,C12,,,,,,,,,,,
10267,000901-00-0793,C05,C12,C17,C04,C13,,,,,,,,,,,,,
10268,000901-00-0796,C12,C15,C10,C03,C04,C13,,,,,,,,,,,,
10269,000901-00-0799,C03,C13,C14,,,,,,,,,,,,,,,
10270,000901-00-0800,C14,,,,,,,,,,,,,,,,,
10271,000901-00-0801,C12,C13,,,,,,,,,,,,,,,,
10272,000901-00-0803,C12,C13,,,,,,,,,,,,,,,,
10273,000901-00-0804,C15,C01,C02,C06,C07,C08,C09,C10,C11,,,,,,,,,
10274,000901-00-0806,C06,,,,,,,,,,,,,,,,,
10275,000901-00-0808,C06,,,,,,,,,,,,,,,,,
10276,000901-00-0810,C15,C10,C12,C03,C05,C13,,,,,,,,,,,,
10277,000901-00-0812,C14,C10,C04,,,,,,,,,,,,,,,
10278,000901-00-0814,C12,C06,C13,C10,,,,,,,,,,,,,,
10279,000901-00-0817,C03,C04,C06,C16,C10,C13,C15,,,,,,,,,,,
10280,000901-00-0818,C04,C16,C13,C03,C06,C12,C17,,,,,,,,,,,
10281,000901-00-0820,C05,C17,C13,C03,C16,,,,,,,,,,,,,
10282,000901-00-0822,C13,C15,C17,C03,C04,C16,C12,C10,C05,,,,,,,,,
10283,000901-00-0825,C17,C05,C12,C18,,,,,,,,,,,,,,
10284,000901-00-0826,C12,C16,C05,,,,,,,,,,,,,,,
10285,000901-00-0828,C09,C12,C08,C15,C02,,,,,,,,,,,,,
10286,000901-00-0830,C12,C16,C13,C05,C04,C03,C17,C18,C14,C11,,,,,,,,
10287,000901-00-0833,C13,C03,,,,,,,,,,,,,,,,
10288,000901-00-0834,C03,C13,C15,C05,,,,,,,,,,,,,,
10289,000901-00-0837,C10,C15,C12,C04,C13,C17,C16,C03,C06,C14,C05,C18,C07,,,,,
10290,000901-00-0839,C03,C04,C13,C15,C10,C06,C16,,,,,,,,,,,
10291,000901-00-0840,C03,C02,C18,C17,C16,C15,C06,C07,C13,C14,C09,,,,,,,
10292,000901-00-0842,C15,C13,C05,C03,,,,,,,,,,,,,,
10293,000901-00-0845,C05,C17,C16,,,,,,,,,,,,,,,
10294,000901-00-0846,C03,C12,,,,,,,,,,,,,,,,
10295,000901-00-0849,C13,C03,C04,C16,C06,C15,C12,C17,C10,C05,C18,,,,,,,
10296,000901-00-0851,C06,C10,C15,C17,C13,,,,,,,,,,,,,
10297,000901-00-0852,C13,C11,C15,,,,,,,,,,,,,,,
10298,000901-00-0854,C10,,,,,,,,,,,,,,,,,
10299,000901-00-0857,C15,C10,C03,C06,C01,,,,,,,,,,,,,
10300,000901-00-0859,C03,C04,C16,C07,C13,C15,C06,C10,C18,C14,,,,,,,,
10301,000901-00-0860,C13,C15,C03,C06,C04,,,,,,,,,,,,,
10302,000901-00-0863,C13,C03,C15,C16,,,,,,,,,,,,,,
10303,000901-00-0874,C06,C16,C13,C03,C15,C14,C04,,,,,,,,,,,
10304,000901-00-0876,C15,C11,C05,C12,C16,C03,C14,,,,,,,,,,,
10305,000901-00-0877,C06,C04,C05,,,,,,,,,,,,,,,
10306,000901-00-0878,C14,C18,C01,C02,C03=C04=C11,C15,,,,,,,,,,,,
10307,000901-00-0879,C16,C17,C18,C03,C04,C09,C12,,,,,,,,,,,
10308,000901-00-0880,C14,C17,C03,,,,,,,,,,,,,,,
10309,000901-00-0881,C16,C15,C01,C02,C03,C05,C08,C09,C04,C10,C12,C13,C14,,,,,
10310,000901-00-0882,C17,C03,C04,C12,,,,,,,,,,,,,,
10311,000901-00-0884,C13,C03,C17,,,,,,,,,,,,,,,
10312,000901-00-0886,C13,C03,C05,,,,,,,,,,,,,,,
