,ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
142,000101-00-0283,C17,C18,C05,C12,,,,,,,,,,,,,,
143,000101-00-0286,C05,,,,,,,,,,,,,,,,,
144,000101-00-0287,C18,C17,C05,C12,,,,,,,,,,,,,,
145,000101-00-0289,C18,C05,C17,,,,,,,,,,,,,,,
146,000101-00-0292,C18,C17,C05,C12,,,,,,,,,,,,,,
147,000101-00-0293,C03,C04,C18,,,,,,,,,,,,,,,
148,000101-00-0296,C07,,,,,,,,,,,,,,,,,
149,000101-00-0297,C18,,,,,,,,,,,,,,,,,
150,000101-00-0300,C18,C05,C17,,,,,,,,,,,,,,,
151,000101-00-0302,C17,C05,C04,,,,,,,,,,,,,,,
152,000101-00-0304,C05,C18,,,,,,,,,,,,,,,,
153,000101-00-0306,C16,,,,,,,,,,,,,,,,,
154,000101-00-0307,C18,C05,,,,,,,,,,,,,,,,
155,000101-00-0310,C10,C07,C09,C02,C05,C14,C17,C16,C12,C13,,,,,,,,
156,000101-00-0312,C17,C18,C05=C14,C12,,,,,,,,,,,,,,
157,000101-00-0314,C18,C17,,,,,,,,,,,,,,,,
158,000101-00-0315,C03,C16,C04,C15,,,,,,,,,,,,,,
159,000101-00-0318,C06,C05,C13,C07,C17,C03,C14,C01,C16,C08,C04,C15,C10,C18,C11,C09,C12,C02
160,000101-00-0320,C18,C05,C03,C10,,,,,,,,,,,,,,
161,000101-00-0321,C18,C17,C12,C05,C14,,,,,,,,,,,,,
162,000101-00-0324,C18,C10,C05,C17,,,,,,,,,,,,,,
163,000101-00-0327,C18,C16,C17,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15
164,000101-00-0328,C18,C05,C13,C04,C02,C09,C17,,,,,,,,,,,
165,000101-00-0330,C17,C18,C05,C12,C13,,,,,,,,,,,,,
166,000101-00-0331,C18,C12,C17,C04,,,,,,,,,,,,,,
167,000101-00-0335,C04,C18,C05,,,,,,,,,,,,,,,
168,000101-00-0336,C06,C10,C15,C07,C01,C04,C13,C12,C16,,,,,,,,,
169,000101-00-0338,C18,C05,C17,,,,,,,,,,,,,,,
170,000101-00-0339,C05,,,,,,,,,,,,,,,,,
171,000101-00-0341,C18,,,,,,,,,,,,,,,,,
172,000101-00-0343,C12,C17,C18,C05,C10,C11,C01,C06,,,,,,,,,,
173,000101-00-0345,C18,C05,C17,,,,,,,,,,,,,,,
174,000101-00-0348,C18,C05,C12,C17,C16,C01,C11,C15,C10,,,,,,,,,
175,000101-00-0349,C18,C05,C12,C17,C16,C01,C11,C15,C10,,,,,,,,,
176,000101-00-0350,C10,C06,C14,C15,C04,C16,C17,C03,,,,,,,,,,
177,000101-00-0352,C18,C05,C06,C17,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C01,C02,C03,C04
178,000101-00-0356,C18,,,,,,,,,,,,,,,,,
179,000101-00-0357,C17,C09,C12,,,,,,,,,,,,,,,
180,000101-00-0359,C17,C12,C05,,,,,,,,,,,,,,,
