,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice ,20th Choice
31,000101-00-0076,overvote,overvote,,,,,,,,,,,,,,,,,,
32,000101-00-0080,C13,C18,C05,,,,,,,,,,,,,,,,,
33,000101-00-0081,C20,C12,C16,C06,C15,C02,C18,C04,C01,,,,,,,,,,,
34,000101-00-0085,C01,C16,,,,,,,,,,,,,,,,,,
35,000101-00-0087,C13,C12,C06,C02,,,,,,,,,,,,,,,,
36,000101-00-0092,C18,C06,C03,C20,,,,,,,,,,,,,,,,
37,000101-00-0094,C06,C18,C10,,,,,,,,,,,,,,,,,
38,000101-00-0097,C18,C06,C12,C13,,,,,,,,,,,,,,,,
39,000101-00-0101,C01,C14,C18,C15,C06,,,,,,,,,,,,,,,
40,000101-00-0103,C15,C16,C18,C20,C02,C04,C06,C12,C13,,,,,,,,,,,
41,000101-00-0107,C01,C15,C05,C18,C14,,,,,,,,,,,,,,,
42,000101-00-0109,C12,C18,C06,,,,,,,,,,,,,,,,,
43,000101-00-0111,C12,,,,,,,,,,,,,,,,,,,
44,000101-00-0115,C01,C14,C09,,,,,,,,,,,,,,,,,
45,000101-00-0118,C20,C06,C18,,,,,,,,,,,,,,,,,
46,000101-00-0120,C20,C02,C15,C13,C04,C06,C16,C14,C18,C12,,,,,,,,,,
47,000101-00-0124,C06,C18,C10,,,,,,,,,,,,,,,,,
48,000101-00-0125,C06,C18,C20,C12,C13,C16,,,,,,,,,,,,,,
49,000101-00-0128,C06,C04,C02,C16,C13,C12,,,,,,,,,,,,,,
50,000101-00-0133,C06,C12,,,,,,,,,,,,,,,,,,
51,000101-00-0135,C20,C18,C15,C05,C06,,,,,,,,,,,,,,,
52,000101-00-0139,C14,C01,C09,C05,C03,C17,C19,C02,,,,,,,,,,,,
53,000101-00-0142,C14,C09,C01,C02,,,,,,,,,,,,,,,,
54,000101-00-0144,C20,C01,C08,,,,,,,,,,,,,,,,,
55,000101-00-0148,C20,C12,C18,C06,,,,,,,,,,,,,,,,
56,000101-00-0150,C16,C20,C01,,,,,,,,,,,,,,,,,
57,000101-00-0154,C14,C01,C09,C02,,,,,,,,,,,,,,,,
58,000101-00-0157,C13,C15,C01,,,,,,,,,,,,,,,,,
59,000101-00-0158,C01,,,,,,,,,,,,,,,,,,,
60,000101-00-0161,C20,C01,C14,C12,C11,C10,C15,C18,C09,C08,C02,,,,,,,,,
61,000101-00-0164,C01,C15,C02,,,,,,,,,,,,,,,,,
62,000101-00-0167,C01,C14,C12,,,,,,,,,,,,,,,,,
63,000101-00-0171,C04,C01,,,,,,,,,,,,,,,,,,
64,000101-00-0175,C09,C02,C06,,,,,,,,,,,,,,,,,
65,000101-00-0178,C01,C02,C06,C04,,,,,,,,,,,,,,,,
66,000101-00-0181,C14,C09,C01,C02,C04,C16,C15,C11,C10,C12,C13,C17,C18,C03,C06,C08,C07,C05,,
67,000101-00-0182,C20,,,,,,,,,,,,,,,,,,,
68,000101-00-0186,C20,C18,C06,,,,,,,,,,,,,,,,,
69,000101-00-0188,C12,C01,C02,C20,C16,,,,,,,,,,,,,,,
70,000101-00-0191,C06,C04,C20,C01,C19,C14,C13,C18,C16,C12,C08,C03,C11,C10,C15,C17,C09,C07,C05,
71,000101-00-0195,C10,C20,C18,C16,,,,,,,,,,,,,,,,
72,000101-00-0197,C06,C18,C20,C12,,,,,,,,,,,,,,,,
73,000101-00-0201,C17,C01,C09,C15,,,,,,,,,,,,,,,,
74,000101-00-0204,C12,,,,,,,,,,,,,,,,,,,
75,000101-00-0207,overvote,,,,,,,,,,,,,,,,,,,
76,000101-00-0209,C13,C02,C16,C10,C19,C01,C03,C04,,,,,,,,,,,,
77,000101-00-0213,C20,C06,C02,C12,C18,,,,,,,,,,,,,,,
78,000101-00-0216,C02,C01,C06,,,,,,,,,,,,,,,,,
79,000101-00-0218,C20,C06,C12,C02,C18,,,,,,,,,,,,,,,
80,000101-00-0221,,,,,,,,,,,,,,,,,,,,
81,000101-00-0224,C01,C09,C16,C06,C04,,,,,,,,,,,,,,,
82,000101-00-0229,C16,C02,C06,C15,C13,C01,C04,C03,C20,C19,C18,,,,,,,,,
83,000101-00-0231,C01,C20,C02,,,,,,,,,,,,,,,,,
84,000101-00-0234,C10,,,,,,,,,,,,,,,,,,,
85,000101-00-0236,C01,C02,C04,C20,C18,C06,C10,,,,,,,,,,,,,
86,000101-00-0240,C20,C06,C18,C12,,,,,,,,,,,,,,,,
87,000101-00-0244,C01,C18,C06,,,,,,,,,,,,,,,,,
88,000101-00-0247,C20,C06,,,,,,,,,,,,,,,,,,
89,000101-00-0249,C01,C18,,,,,,,,,,,,,,,,,,
90,000101-00-0252,C03,C16,C01,,,,,,,,,,,,,,,,,
91,000101-00-0254,C14,C02,C01,C20,C06,C04,C10,C18,,,,,,,,,,,,
92,000101-00-0259,,,,,,,,,,,,,,,,,,,,
93,000101-00-0260,overvote,overvote,,,,,,,,,,,,,,,,,,
94,000101-00-0263,C02,C20,C18,C15,C06,C14,C17,C19,C11,C09,C07,C08,C10,C12,C13,C16,C01,C03,C04,
95,000101-00-0266,C20,C18,C12,C06,C03,C04,,,,,,,,,,,,,,
96,000101-00-0270,C03,C14,C07,C02,,,,,,,,,,,,,,,,
97,000101-00-0274,C16,C20,C02,C12,C13,C06,C04,C18,C15,C01,C10,C19,C03,,,,,,,
98,000101-00-0277,C06,C20,,,,,,,,,,,,,,,,,,
99,000101-00-0278,C20,C06,C18,C05,C10,C17,,,,,,,,,,,,,,
100,000101-00-0282,C16,C20,C06,C12,C18,,,,,,,,,,,,,,,
101,000101-00-0285,C14,C09,,,,,,,,,,,,,,,,,,
102,000101-00-0288,C20,C18,C06,C12,,,,,,,,,,,,,,,,
103,000101-00-0291,C20,C12,C18,C06,C10,C01,C03,C08,C14,C19,C15,C13,C09,C04,C02,C05,C16,C17,C07,
104,000101-00-0293,C12,C18,C20,C01,,,,,,,,,,,,,,,,
105,000101-00-0298,C13,C02,C01,C16,,,,,,,,,,,,,,,,
106,000101-00-0301,C13,C01,C02,,,,,,,,,,,,,,,,,
107,000101-00-0302,C01,C02,C04,C16,C17,C19,C18,,,,,,,,,,,,,
108,000101-00-0306,C20,C18,C16,C15,,,,,,,,,,,,,,,,
109,000101-00-0309,C20,C18,C06,,,,,,,,,,,,,,,,,
110,000101-00-0311,C20,C18,,,,,,,,,,,,,,,,,,
111,000101-00-0314,C20,C18,C06,,,,,,,,,,,,,,,,,
112,000101-00-0319,C20,C04,C16,C17,C09,C02,C03,C07,C08,C10,C11,C12,C13,C14,C18,C19,C01,C05,C06,C15
113,000101-00-0320,C16,C01,C14,,,,,,,,,,,,,,,,,
114,000101-00-0324,C17,,,,,,,,,,,,,,,,,,,
115,000101-00-0327,C03,C09,C20,C15,C16,C02,,,,,,,,,,,,,,
116,000101-00-0329,C03,C20,C09,C15,C01,,,,,,,,,,,,,,,
117,000101-00-0333,C20,,,,,,,,,,,,,,,,,,,
118,000101-00-0336,C10,C14,C17,C01,C08,C09,,,,,,,,,,,,,,
119,000101-00-0337,C01,C20,C09,C15,C02,C04,C13,C16,C19,C18,,,,,,,,,,
120,000101-00-0340,C20,C06,C12,C13,C01,C15,C05,C14,C16,C17,,,,,,,,,,
121,000101-00-0345,C19,C20,C15,C18,C14,C06,C02,C16,C12,C13,C04,C17,C01,C03,C09,C08,C11,C07,C05,C10
122,000101-00-0347,C20,C01,C04,C06,C12,,,,,,,,,,,,,,,
123,000101-00-0350,C18,,,,,,,,,,,,,,,,,,,
124,000101-00-0354,C01,C20,C02,C18,C12,,,,,,,,,,,,,,,
125,000101-00-0357,C18,C12,C06,,,,,,,,,,,,,,,,,
126,000101-00-0358,C20,C18,C06,C16,C12,C11,C03,,,,,,,,,,,,,
127,000101-00-0362,C20,C06,C12,C13,C16,C18,C14,C01,C02,,,,,,,,,,,
128,000101-00-0366,C13,C18,C12,C04,C02,C17,C14,,,,,,,,,,,,,
129,000101-00-0367,C08,C09,C10,,,,,,,,,,,,,,,,,
130,000101-00-0372,C18,C20,C02,C04,C16,C15,C13,C06,C12,C19,C03,,,,,,,,,
131,000101-00-0375,C20,C06,,,,,,,,,,,,,,,,,,
132,000101-00-0376,C18,C20,C06,overvote,C12,,,,,,,,,,,,,,,
133,000101-00-0380,C20,C18,C06,C12,,,,,,,,,,,,,,,,
134,000101-00-0382,C01,C02,C04,C16,C17,C06,C20,C13,,,,,,,,,,,,
135,000101-00-0387,C06,C20,C18,C16,C10,,,,,,,,,,,,,,,
136,000101-00-0390,C18,C20,C01,C12,C06,,,,,,,,,,,,,,,
137,000101-00-0393,C01,C14,C05,C09,C02,,,,,,,,,,,,,,,
138,000101-00-0394,C01,C14,C05,,,,,,,,,,,,,,,,,
139,000101-00-0398,C02,C01,C20,,,,,,,,,,,,,,,,,
140,000101-00-0401,C06,C20,C19,C01,C02,C16,,,,,,,,,,,,,,
141,000101-00-0404,C20,C01,C12,,,,,,,,,,,,,,,,,
142,000101-00-0408,C18,C20,C06,C12,C04,C02,C15,C16,C13,,,,,,,,,,,
143,000101-00-0409,C18,C06,,,,,,,,,,,,,,,,,,
144,000101-00-0414,C04,C02,C20,C16,C19,C17,C15,C18,,,,,,,,,,,,
145,000101-00-0416,C18,C20,C06,,,,,,,,,,,,,,,,,
146,000101-00-0418,C18,C20,C06,,,,,,,,,,,,,,,,,
147,000101-00-0421,C20,C12,C18,,,,,,,,,,,,,,,,,
148,000101-00-0424,C20,C18,C06,C12,C07,C05,C08,C09,,,,,,,,,,,,
149,000101-00-0429,C20,C18,,,,,,,,,,,,,,,,,,
150,000101-00-0431,C20,C06,C18,,,,,,,,,,,,,,,,,
151,000101-00-0434,C20,C18,C06,,,,,,,,,,,,,,,,,
152,000101-00-0436,C03,C09,C20,C14,C06,C13,C18,C12,C02,C16,C04,C15,,,,,,,,
153,000101-00-0439,C10,C06,C20,C04,,,,,,,,,,,,,,,,
154,000101-00-0443,C06,C20,C12,C18,,,,,,,,,,,,,,,,
155,000101-00-0445,C17,C14,C03,C13,C16,C01,C10,C19,,,,,,,,,,,,
156,000101-00-0449,C01,C13,C17,C02,C16,C03,C10,C19,,,,,,,,,,,,
157,000101-00-0451,C14,C06,C18,C20,C05,C11,C08,C12,C03,C01,,,,,,,,,,
158,000101-00-0455,C02,C18,C13,C12,C20,C17,C16,C15,C07,C08,C09,C10,C04,C05,C06,,,,,
159,000101-00-0458,C20,C02,C06,C12,C18,C15,C13,C16,,,,,,,,,,,,
160,000101-00-0460,C06,C01,C20,C18,,,,,,,,,,,,,,,,
161,000101-00-0465,C20,C04,C02,C01,C18,,,,,,,,,,,,,,,
162,000101-00-0468,C02,C13,C04,C01,C06,C09,C14,C15,C16,C03,C20,C19,C10,,,,,,,
163,000101-00-0470,C20,C01,,,,,,,,,,,,,,,,,,
164,000101-00-0474,,,,,,,,,,,,,,,,,,,,
165,000101-00-0475,C01,C12,C10,C04,C20,C02,C15,C05,C16,,,,,,,,,,,
166,000101-00-0478,C01,,,,,,,,,,,,,,,,,,,
167,000101-00-0482,,,,,,,,,,,,,,,,,,,,
168,000101-00-0484,C06,,,,,,,,,,,,,,,,,,,
169,000101-00-0487,C06,C01,C20,C18,C15,,,,,,,,,,,,,,,
170,000101-00-0492,C20,C18,C01,,,,,,,,,,,,,,,,,
171,000101-00-0493,C20,C18,C01,,,,,,,,,,,,,,,,,
172,000101-00-0496,C18,C06,C04,C20,C12,,,,,,,,,,,,,,,
173,000101-00-0501,,,,,,,,,,,,,,,,,,,,
174,000101-00-0504,C18,C20,C06,C12,C15,,,,,,,,,,,,,,,
175,000101-00-0505,C20,C03,C01,,,,,,,,,,,,,,,,,
176,000101-00-0509,C20,C03,C01,,,,,,,,,,,,,,,,,
177,000101-00-0512,C01,C02,C20,C06,C10,C16,C03,C12,C04,C13,C18,C15,,,,,,,,
178,000101-00-0516,C20,C18,C12,C06,,,,,,,,,,,,,,,,
179,000101-00-0517,C20,C18,C07,C12,,,,,,,,,,,,,,,,
180,000101-00-0522,C06,C18,C12,,,,,,,,,,,,,,,,,
181,000101-00-0525,C06,C18,C12,,,,,,,,,,,,,,,,,
182,000101-00-0528,C04,,,,,,,,,,,,,,,,,,,
183,000101-00-0530,C01,C14,C08,,,,,,,,,,,,,,,,,
184,000101-00-0534,C20,C06,C18,C12,C13,C04,,,,,,,,,,,,,,
185,000101-00-0537,C02,C01,C10,,,,,,,,,,,,,,,,,
186,000101-00-0539,C20,C06,C12,C16,,,,,,,,,,,,,,,,
187,000101-00-0542,C06,,,,,,,,,,,,,,,,,,,
188,000101-00-0545,C20,,,,,,,,,,,,,,,,,,,
189,000101-00-0547,C20,C15,C01,C06,C12,,,,,,,,,,,,,,,
190,000101-00-0550,C01,C20,C02,C19,C17,C03,,,,,,,,,,,,,,
191,000101-00-0555,C10,C14,,,,,,,,,,,,,,,,,,
192,000101-00-0559,C20,C18,C06,C16,C12,C01,C07,C04,C02,C19,C14,C08,C03,C05,C09,C11,C10,C13,C15,
193,000101-00-0562,,,,,,,,,,,,,,,,,,,,
194,000101-00-0564,overvote,overvote,C08,C09,C10,C11,,,,,,,,,,,,,,
195,000101-00-0567,C12,C18,C20,C06,C08,,,,,,,,,,,,,,,
196,000101-00-0570,C12,C20,C06,C18,,,,,,,,,,,,,,,,
197,000101-00-0571,C12,C18,C20,C06,C08,,,,,,,,,,,,,,,
198,000101-00-0575,C18,C06,C15,C02,C04,,,,,,,,,,,,,,,
199,000101-00-0579,C03,C20,C18,C17,C16,C11,C09,C15,,,,,,,,,,,,
200,000101-00-0581,C03,C20,C15,C13,C18,C12,C09,C08,,,,,,,,,,,,
201,000101-00-0585,C20,C12,C06,C14,C18,,,,,,,,,,,,,,,
202,000101-00-0587,C20,C14,C02,C04,C01,C16,C15,C06,C18,,,,,,,,,,,
203,000101-00-0589,C12,C06,C18,,,,,,,,,,,,,,,,,
204,000101-00-0593,C12,C18,C20,C06,C15,C03,C13,C16,C02,C04,,,,,,,,,,
205,000101-00-0595,C12,C14,C18,,,,,,,,,,,,,,,,,
206,000101-00-0602,C18,C20,C12,C06,C16,C15,C13,C03,,,,,,,,,,,,
207,000101-00-0604,C20,C06,,,,,,,,,,,,,,,,,,
208,000101-00-0608,overvote,,,,,,,,,,,,,,,,,,,
209,000101-00-0610,overvote,overvote,,,,,,,,,,,,,,,,,,
210,000101-00-0613,C18,C13,C12,C16,,,,,,,,,,,,,,,,
211,000101-00-0616,C18,C13,C11,C15,C12,,,,,,,,,,,,,,,
212,000101-00-0618,C20,C18,C06,C12,C16,C13,C04,C02,C19,,,,,,,,,,,
213,000101-00-0621,C03,C13,C02,C20,C10,C01,,,,,,,,,,,,,,
214,000101-00-0625,C20,C02,C17,C06,C19,C15,C16,C04,C13,C12,,,,,,,,,,
215,000101-00-0627,C20,C01,C12,C14,C13,C06,C02,,,,,,,,,,,,,
216,000101-00-0631,C02,C15,C20,,,,,,,,,,,,,,,,,
217,000101-00-0634,C02,,,,,,,,,,,,,,,,,,,
218,000101-00-0636,C12,C06,C18,C03,,,,,,,,,,,,,,,,
219,000101-00-0640,C12,C06,,,,,,,,,,,,,,,,,,
220,000101-00-0643,C20,C18,,,,,,,,,,,,,,,,,,
221,000101-00-0645,C02,C01,C16,C10,C19,C13,C14,C03,C04,,,,,,,,,,,
222,000101-00-0647,C01,C16,C10,C04,C08,C13,C18,C06,C17,,,,,,,,,,,
223,000101-00-0651,C10,C20,C06,,,,,,,,,,,,,,,,,
224,000101-00-0655,C02,C15,,,,,,,,,,,,,,,,,,
225,000101-00-0656,C20,C18,C12,C06,C03,C02,C19,,,,,,,,,,,,,
226,000101-00-0659,C09,C13,C02,C18,,,,,,,,,,,,,,,,
227,000101-00-0661,C18,C20,C06,C12,C01,,,,,,,,,,,,,,,
228,000101-00-0663,C18,C20,C06,C01,,,,,,,,,,,,,,,,
229,000101-00-0666,C20,C04,C02,C06,C18,C01,,,,,,,,,,,,,,
230,000101-00-0672,C16,C04,C02,C01,,,,,,,,,,,,,,,,
231,000101-00-0676,C02,C04,C08,C10,,,,,,,,,,,,,,,,
232,000101-00-0678,C20,C18,,,,,,,,,,,,,,,,,,
233,000101-00-0679,C20,C04,C09,C13,,,,,,,,,,,,,,,,
234,000101-00-0683,C20,C18,,,,,,,,,,,,,,,,,,
235,000101-00-0686,,,,,,,,,,,,,,,,,,,,
236,000101-00-0688,C06,C18,C20,C01,,,,,,,,,,,,,,,,
237,000101-00-0691,C06,,,,,,,,,,,,,,,,,,,
238,000101-00-0695,C20,C18,C04,C02,C01,,,,,,,,,,,,,,,
239,000101-00-0697,C20,C18,C12,C06,C13,,,,,,,,,,,,,,,
240,000101-00-0702,C01,C20,C13,C14,C02,C09,C15,C16,C04,C05,C12,C06,C03,C18,C19,C07,C08,C10,C11,C17
241,000101-00-0703,C20,,,,,,,,,,,,,,,,,,,
242,000101-00-0707,C20,,,,,,,,,,,,,,,,,,,
243,000101-00-0710,C18,C20,,,,,,,,,,,,,,,,,,
244,000101-00-0713,C18,C20,C06,C12,C02,,,,,,,,,,,,,,,
245,000101-00-0715,C20,,,,,,,,,,,,,,,,,,,
246,000101-00-0718,C20,C06,,,,,,,,,,,,,,,,,,
247,000101-00-0719,overvote,,,,,,,,,,,,,,,,,,,
248,000101-00-0724,C20,,,,,,,,,,,,,,,,,,,
249,000101-00-0726,C18,C06,C01,C12,,,,,,,,,,,,,,,,
250,000101-00-0730,C20,C18,,,,,,,,,,,,,,,,,,
251,000101-00-0731,C20,C06,C18,C12,C02,,,,,,,,,,,,,,,
252,000101-00-0735,C20,C06,C18,,,,,,,,,,,,,,,,,
253,000101-00-0740,C20,C18,C02,,,,,,,,,,,,,,,,,
254,000101-00-0742,C20,C12,C18,C06,,,,,,,,,,,,,,,,
255,000101-00-0745,C20,C18,C12,C06,,,,,,,,,,,,,,,,
256,000101-00-0749,C20,C18,C13,,,,,,,,,,,,,,,,,
257,000101-00-0750,overvote,C20,,,,,,,,,,,,,,,,,,
258,000101-00-0755,C11,C13,C15,C17,C18,C19,C20,C02,C03,,,,,,,,,,,
259,000101-00-0757,C20,C18,C12,C06,C04,,,,,,,,,,,,,,,
260,000101-00-0760,C20,,,,,,,,,,,,,,,,,,,
261,000101-00-0764,C20,C12,C18,C01,,,,,,,,,,,,,,,,
262,000101-00-0766,C20,C18,C04,C12,C06,,,,,,,,,,,,,,,
263,000101-00-0769,C20,C18,C12,C06,,,,,,,,,,,,,,,,
264,000101-00-0771,C13,C14,C05,C04,C20,C15,,,,,,,,,,,,,,
265,000101-00-0774,C18,C20,C04,C12,,,,,,,,,,,,,,,,
266,000101-00-0778,C20,C18,C06,C12,C13,,,,,,,,,,,,,,,
267,000101-00-0780,C20,C18,C12,C06,,,,,,,,,,,,,,,,
268,000101-00-0783,C20,C06,C18,C01,C16,C15,C04,,,,,,,,,,,,,
269,000101-00-0787,C20,C18,C06,C12,C02,C04,,,,,,,,,,,,,,
270,000101-00-0788,C20,C17,C03,C14,C05,C06,C11,C07,,,,,,,,,,,,
271,000101-00-0791,C13,C01,C02,C04,C19,,,,,,,,,,,,,,,
272,000101-00-0796,C12,C18,C19,C20,C06,C08,C16,C15,C10,,,,,,,,,,,
273,000101-00-0800,C01,C20,C12,,,,,,,,,,,,,,,,,
274,000101-00-0802,C01,overvote,,,,,,,,,,,,,,,,,,
275,000101-00-0805,C20,C12,C18,C06,,,,,,,,,,,,,,,,
276,000101-00-0808,C14,C20,C18,C12,,,,,,,,,,,,,,,,
277,000101-00-0810,,,,,,,,,,,,,,,,,,,,
278,000101-00-0814,C20,C18,C12,C06,C04,C13,C15,C16,C02,,,,,,,,,,,
279,000101-00-0818,C20,C06,C12,C18,,,,,,,,,,,,,,,,
280,000101-00-0819,C06,C20,,,,,,,,,,,,,,,,,,
281,000101-00-0821,C06,,,,,,,,,,,,,,,,,,,
282,000101-00-0824,C06,,,,,,,,,,,,,,,,,,,
283,000101-00-0827,C06,C12,,,,,,,,,,,,,,,,,,
284,000101-00-0831,C20,C18,C15,C16,C01,C12,,,,,,,,,,,,,,
285,000101-00-0833,C20,C18,C12,C06,C04,C07,,,,,,,,,,,,,,
286,000101-00-0836,C06,C15,C20,,,,,,,,,,,,,,,,,
287,000101-00-0840,C20,C18,,,,,,,,,,,,,,,,,,
288,000101-00-0842,C09,C01,C16,C14,C20,,,,,,,,,,,,,,,
289,000101-00-0845,C02,C20,,,,,,,,,,,,,,,,,,
290,000101-00-0848,overvote,C06,,,,,,,,,,,,,,,,,,
291,000101-00-0850,C20,C06,,,,,,,,,,,,,,,,,,
292,000101-00-0855,C14,C17,C20,,,,,,,,,,,,,,,,,
293,000101-00-0858,C20,C06,,,,,,,,,,,,,,,,,,
294,000101-00-0859,C06,C16,C20,,,,,,,,,,,,,,,,,
295,000101-00-0864,C20,C06,C12,C18,,,,,,,,,,,,,,,,
296,000101-00-0866,C20,C06,C12,C18,,,,,,,,,,,,,,,,
297,000101-00-0869,C06,C18,C13,C12,C16,C04,overvote,C15,C20,,,,,,,,,,,
298,000101-00-0873,C20,C18,,,,,,,,,,,,,,,,,,
299,000101-00-0875,C20,,,,,,,,,,,,,,,,,,,
300,000101-00-0879,C20,C18,C06,,,,,,,,,,,,,,,,,
301,000101-00-0881,C18,C01,,,,,,,,,,,,,,,,,,
302,000101-00-0884,C20,C17,C04,C15,C01,C09,C12,C13,C07,C08,C19,C16,C18,C02,C03,C05,C06,C10,,
303,000101-00-0888,C20,C16,C18,C12,C04,,,,,,,,,,,,,,,
304,000101-00-0891,C20,C06,,,,,,,,,,,,,,,,,,
305,000101-00-0893,C20,C18,C02,C03,C06,C15,C13,C12,C16,,,,,,,,,,,
306,000101-00-0897,C20,C18,C06,,,,,,,,,,,,,,,,,
307,000101-00-0900,C15,C20,C06,C14,,,,,,,,,,,,,,,,
308,000101-00-0902,C20,C11,C16,,,,,,,,,,,,,,,,,
309,000101-00-0905,C20,C02,C12,C04,,,,,,,,,,,,,,,,
310,000101-00-0909,C20,C01,C18,C16,C06,C02,C04,C03,C13,,,,,,,,,,,
311,000101-00-0911,C20,C06,C12,C18,C10,,,,,,,,,,,,,,,
312,000101-00-0915,C20,C06,C18,,,,,,,,,,,,,,,,,
313,000101-00-0917,C18,C06,,,,,,,,,,,,,,,,,,
314,000101-00-0923,overvote,,,,,,,,,,,,,,,,,,,
315,000101-00-0926,C20,,,,,,,,,,,,,,,,,,,
316,000101-00-0928,C06,,,,,,,,,,,,,,,,,,,
317,000101-00-0931,C14,C01,C17,C12,C15,C10,C04,,,,,,,,,,,,,
318,000101-00-0934,C15,C18,C20,C01,C06,C12,C04,C02,,,,,,,,,,,,
319,000101-00-0936,C20,C18,C06,C15,C13,C16,C12,C02,C03,,,,,,,,,,,
320,000101-00-0940,C15,C16,C20,C02,C04,C06,C12,C13,C14,C10,C11,C08,C09,C07,C05,C01,C18,C19,C17,C03
321,000101-00-0943,C18,,,,,,,,,,,,,,,,,,,
322,000101-00-0945,C18,,,,,,,,,,,,,,,,,,,
323,000101-00-0950,C20,C06,C04,,,,,,,,,,,,,,,,,
324,000101-00-0952,C20,C04,C06,C02,,,,,,,,,,,,,,,,
325,000101-00-0956,C20,C18,C05,C04,C03,C02,,,,,,,,,,,,,,
326,000101-00-0959,C18,C12,C06,,,,,,,,,,,,,,,,,
327,000101-00-0961,C06,C18,,,,,,,,,,,,,,,,,,
328,000101-00-0965,C02,C06,,,,,,,,,,,,,,,,,,
329,000101-00-0967,C17,C02,C03,C16,C13,C01,C19,C04,C15,,,,,,,,,,,
330,000101-00-0971,C03,C02,C04,C13,C01,C15,C16,C12,,,,,,,,,,,,
331,000101-00-0973,C02,C16,C19,C10,,,,,,,,,,,,,,,,
332,000101-00-0976,C20,C02,C12,C18,C06,,,,,,,,,,,,,,,
333,000101-00-0978,C20,C18,C06,C10,C12,C15,,,,,,,,,,,,,,
334,000101-00-0983,C20,C18,C12,C03,C06,C01,,,,,,,,,,,,,,
335,000101-00-0984,C20,C18,C16,C15,C02,C04,C12,C06,,,,,,,,,,,,
336,000101-00-0987,C01,C20,C06,C08,C12,C16,C17,C02,C04,C10,,,,,,,,,,
337,000101-00-0990,C20,C06,C18,C04,C12,C01,,,,,,,,,,,,,,
338,000101-00-0995,C20,C06,C19,C15,,,,,,,,,,,,,,,,
339,000101-00-0996,,,,,,,,,,,,,,,,,,,,
340,000101-00-1001,C13,C20,C02,C15,C18,C04,C16,C06,,,,,,,,,,,,
341,000101-00-1003,C14,C09,C13,C16,C02,C15,C17,C10,C05,C04,C19,C03,C01,C11,C12,C08,C07,C18,C20,C06
342,000101-00-1006,C20,C12,C06,,,,,,,,,,,,,,,,,
343,000101-00-1009,C06,C02,C04,C16,,,,,,,,,,,,,,,,
344,000101-00-1012,C06,C02,C04,C16,,,,,,,,,,,,,,,,
345,000101-00-1016,C06,C12,,,,,,,,,,,,,,,,,,
