Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-5 P-09,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-5 P-6C,Latrisha Vetaw,Devin Hogan,Meg Forney
MINNEAPOLIS W-6 P-01,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-6 P-02,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-6 P-03,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-6 P-04,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-6 P-05,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-6 P-06,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-6 P-07,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-6 P-08,Russ Henry,Londel French,Meg Forney
MINNEAPOLIS W-6 P-09,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-7 P-01C,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-7 P-02D,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-7 P-03,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-7 P-04D,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-7 P-05,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-7 P-06,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-7 P-07,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-7 P-08,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-7 P-09,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-7 P-10,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-8 P-01,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-8 P-02,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-8 P-03,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-8 P-04,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-8 P-05,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-8 P-06,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-8 P-07,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-8 P-08,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-9 P-01,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-9 P-02,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-9 P-03,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-9 P-04,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-9 P-05,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-9 P-06,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-9 P-07,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-9 P-08,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-9 P-09,Latrisha Vetaw,Devin Hogan,Londel French
